iter	MultiClass
0	1.363306649
1	1.340701796
2	1.318477725
3	1.300790399
4	1.290657332
5	1.269290753
6	1.252339102
7	1.239706987
8	1.219231546
9	1.202735667
10	1.182922166
11	1.163467223
12	1.144367096
13	1.125617897
14	1.11089658
15	1.096059164
16	1.07820745
17	1.060691594
18	1.043507168
19	1.029790867
20	1.013195425
21	0.9999581502
22	0.9839357409
23	0.9713525744
24	0.9558831128
25	0.9407150397
26	0.9258434895
27	0.911263574
28	0.8969703897
29	0.8855728528
30	0.8717864534
31	0.8582729794
32	0.8450275313
33	0.8345230578
34	0.8217491824
35	0.8092296948
36	0.7969597818
37	0.7849346641
38	0.7731496007
39	0.7615998928
40	0.7502808868
41	0.739187978
42	0.7283166132
43	0.7176622934
44	0.7072205762
45	0.6969870779
46	0.6869574755
47	0.6771275081
48	0.6674929786
49	0.6580497547
50	0.6487937703
51	0.6397210261
52	0.6308275904
53	0.6221095994
54	0.6135632582
55	0.6051848404
56	0.5969706885
57	0.5889172141
58	0.5810208974
59	0.5732782874
60	0.5656860012
61	0.5582407241
62	0.5509392085
63	0.5437782739
64	0.5367548061
65	0.5298657565
66	0.5231081415
67	0.5164790415
68	0.5099756003
69	0.5035950242
70	0.4973345812
71	0.4911915997
72	0.4851634681
73	0.4792476335
74	0.4734416008
75	0.4677429317
76	0.4621492439
77	0.4566582095
78	0.4512675547
79	0.4459750584
80	0.440778551
81	0.435675914
82	0.4306650781
83	0.4257440229
84	0.4209107757
85	0.4161634103
86	0.4115000461
87	0.4069188472
88	0.4024180213
89	0.3979958188
90	0.3936505318
91	0.3893804932
92	0.3851840757
93	0.3810596909
94	0.3770057885
95	0.3730208552
96	0.369103414
97	0.3652520232
98	0.3614652758
99	0.3577417984
