iter	Passed	Remaining
0	0	91
1	1	86
2	2	72
3	2	63
4	2	56
5	3	54
6	3	51
7	4	48
8	4	48
9	5	49
10	6	54
11	7	52
12	8	53
13	8	53
14	9	52
15	9	51
16	10	51
17	11	50
18	11	50
19	12	49
20	13	49
21	13	48
22	14	48
23	15	47
24	15	46
25	16	46
26	17	45
27	17	45
28	18	45
29	19	44
30	19	44
31	20	43
32	21	43
33	21	42
34	22	41
35	23	41
36	23	40
37	24	40
38	25	39
39	26	39
40	26	38
41	27	38
42	28	37
43	29	37
44	30	36
45	30	35
46	31	35
47	32	34
48	33	34
49	33	33
50	34	33
51	35	32
52	36	32
53	37	31
54	37	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	47	21
69	48	20
70	49	20
71	50	19
72	51	18
73	52	18
74	53	17
75	54	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	58	12
82	59	12
83	60	11
84	60	10
85	61	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	70	1
98	71	0
99	71	0
